






PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
13947;"Banco de España";"El Banco de España es el banco central nacional y el supervisor del sistema bancario español. Su actividad está regulada por la Ley de Autonomía del Banco de España.";"De lunes a viernes: 8.30 a 14.00 h   Sábados, domingos y festivos: cerrado";"Algunos servicios se encuentran ubicados en:   C/  Alcalá, 522  28027 Madrid  Servicios al público:   Operaciones de canje de pesetas por euros.  Recogida de billetes y monedas falsos.  Canje de billetes deteriorados.  Suscripción de deuda pública.  Solicitud de información de la Central de Información de Riesgos (CIR).  Presentación, ante el Departamento de Conducta de Mercado y Reclamaciones, de quejas y consultas relativas a los servicios bancarios que prestan las entidades de crédito.";"Metro: Banco de España (línea 2)  Bus: 1, 2, 9, 10, 15, 20, 34, 51, 52, 53, 74, 146, 202, 203";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=487d995a8bf5d010VgnVCM2000000c205a0aRCRD";"ALCALA";"CALLE";"V";"48";"";"";"";"";"MADRID";"MADRID";"28014";"CORTES";"CENTRO";"441054";"4474478";"40.4188339187439";"-3.69482107480432";"913 385 000 (centralita)";"";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
3371;"Basílica Pontificia de San Miguel";"";"";"";"Metro: Sol (líneas 1, 2 y 3), Tirso de Molina (línea 1), La Latina (línea 5)  Renfe: Sol (líneas 3 y 4)  Bus: 3, 17, 18, 23, 31, 35, 50, 65, 148";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9c383d232e91f010VgnVCM1000000b205a0aRCRD";"SAN JUSTO";"CALLE";"V";"4";"";"";"";"";"MADRID";"MADRID";"28005";"PALACIO";"CENTRO";"439790";"4473973";"40.414203159177625";"-3.7096715906562716";"915 484 011";"";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
1744;"Biblioteca Nacional de España";"Fundada por Felipe V en 1712 como Biblioteca Pública de Palacio. En 1836 dejó de ser propiedad de la Corona y pasó a depender del Ministerio de la Gobernación y recibió por primera vez el nombre de Biblioteca Nacional y en 1896 se abrió al público.";"Consultar pestaña ' Más información '.";"";"Metro: Colón, (línea 4), Retiro (Línea 2).  Bus: 1, 5, 9, 14, 19, 21, 27, 37, 45, 51, 53, 74, 150.  Cercanías Renfe: Recoletos (líneas C1, C2, C7, C8  y C10).";"Horarios    Salas de lectura y servicios    De lunes a viernes, de 9 a 21 horas, excepto:  Salas Goya, Cervantes y Barbieri, de 9 a 20 horas.  Oficina de reprografía, de 9 a 19 horas.   Fotocopias al público, de 9 a 20 horas.  Préstamo interbibliotecario, de 9 a 14:30 horas.      Sábados, de 9 a 14 horas, excepto:  Sala Barbieri, cerrada.  Oficina de reprografía, cerrada.  Fotocopias al público de 9 a 13 horas.      Registro general y cartería    De lunes a jueves de 9 a 14:30 y de 15:30 a 17:30 horas.   Viernes de 9 a 15 horas.    Días de cierre en 2018 :   1 y 2 de enero.  5 de enero, abierto de 9 a 18 horas.  6 de enero.  29, 30 y 31 de marzo.  13, 14 y 15 de abril.  1 y 2 de mayo.  15 de mayo.  15 de agosto.  12 de octubre.  13 de octubre, abierto de 9 a 14 horas.  1 y 9 de noviembre.  10 de noviembre, abierto de 9 a 14 horas.  6, 8, 24, 25 y 31 de diciembre.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2b8d995a8bf5d010VgnVCM2000000c205a0aRCRD";"RECOLETOS";"PASEO";"V";"20";"";"";"";"";"MADRID";"MADRID";"28001";"RECOLETOS";"SALAMANCA";"441395";"4474937";"40.423001908945956";"-3.69084423390357";"915 807 823 / 05 (Información) 915 807 800 (Centralita) 915 807 894 (Información sobre Exposiciones) 915 169 867 (Información sobre el Museo y actividades infantiles) 915 807 755 (Registro General y Cartería)                                                                                                
";"";"acceso@bne.es";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
14211;"Bolsa de Madrid";"Es el principal mercado de valores de España. Tiene su sede en el Palacio de la Bolsa de Madrid.   Visitas guiadas al Palacio de la Bolsa   Todos los días laborables, en horario de mañana, la Bolsa de Madrid abre sus puertas al público para que puedan recorrer el Palacio de la Bolsa. Todas las visitas son guiadas por personal de la Bolsa de Madrid, con objeto de poder aclarar las preguntas del público, ofreciendo así una visita dinámica y participativa.  La visita tiene una duración aproximada de 60 minutos.   Visitas individuales    Todos los Jueves a las 12 horas.  Reservas:  visitas@grupobme.es     Visitas de grupos    Centros de Bachiller (colegios, Institutos,  etc )  Otros grupos: profesionales, universidades, centros de formación profesional, asociaciones,  etc   Horario: Desde las 10 horas de lunes a viernes  Grupos de 30 personas como máximo  Edad mínima: 16 años";"";"";"Metro: Banco de España (línea 2)  Bus: 1, 2, 5, 9, 10, 15, 20, 34";"Descripción monumental:  diseñado por Enrique Repulles y Vargas en 1884-93. Edificio representativo de estilo neoclásico, en el que, aprovechando un solar irregular, se organiza perfectamente el complejo programa. Interesante sala de operaciones semicircular cubierta por una bóveda de hierro y cristal.";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0a9d81eb5f51c010VgnVCM2000000c205a0aRCRD";"LEALTAD";"PLAZA";"V";"1";"";"";"";"Palacio de la Bolsa";"MADRID";"MADRID";"28014";"LOS JERONIMOS";"RETIRO";"441276";"4474259";"40.41688576337496";"-3.692184322678944";"917 095 000 / 915 891 184 (Protector del inversor)";"";"infobolsamadrid@grupobme.es";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
1956;"Casa de América";"Antiguo Palacio de Linares, diseñado por Carlos Colubí en 1872.  De estilo rococó, destaca la escalera de mármol de Manuel Aníbal Álvarez y toda la decoración interior.";"Punto de información:    Lunes a viernes de 9 a 15 y de 16 a 20:30 horas.    Exposiciones (Salas Frida Khalo y Diego Rivera):    Lunes a viernes de 11 a 19:30 horas, sábados de 11 a 15 horas. Domingos cerrado.    Restaurante:    De 13:30 a 16 y de 20:30 a 0 horas. Cerrado domingos todo el día; lunes y martes noche en otoño e invierno.";"Visitas guiadas:    Sábados y domingos, a las 11, 12 y 13 horas. Durante el mes de agosto no hay visitas.  Venta de entradas anticipadas en el Punto de información de Casa de América hasta media hora antes del cierre.    Exposiciones  (acceso por Marqués del Duero 2).   Restaurante  (acceso por Paseo Recoletos, 2).   Sala de cine.";"Metro: Banco de España (línea 2)  Bus: 1, 2, 5, 9, 10, 14, 15, 20, 27, 34, 37, 45, 51, 52, 53, 74, 146, 150, 202.  Cercanías Renfe: Recoletos (líneas C1, C2, C7, C8, C10 y Regional).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=10f979262ef5d010VgnVCM1000000b205a0aRCRD";"CIBELES";"PLAZA";"V";"4";"";"";"";"";"MADRID";"MADRID";"28014";"RECOLETOS";"SALAMANCA";"441270";"4474578";"40.41975904857138";"-3.692284495888486";"915 954 800 (información) ";"";"";"/contenido/entidadesYorganismos/Consorcios"; 
20363;"Casa de Cisneros";"Es uno de los pocos palacios renacentistas del siglo XVI conservados en Madrid, aunque con muchas modificaciones.";"";"";"Metro: Sol (líneas 1, 2, 3), Ópera (líneas R, 2, 5)  Bus: 3, 5, 20, 25, 33, 39, 50, 51, 52, 53, 150";"Descripción monumental   Casa-palacio mandada construir por Don Benito Jiménez de Cisneros, sobrino del Cardenal Cisneros, en 1537. Posiblemente fue encargada al alarife de la Villa, Miguel de Hita, que utilizó el solar de su antigua casa y el resto de los solares de la manzana que había adquirido, como consta en un documento de la época.   Forma parte del conjunto de la Plaza de la Villa. Después de la Guerra Civil Felipe Trigo hizo otra reforma interior. Destacan la escalera con azulejos de Talavera y el Salón de los Tapices.   Bibliografía : Arquitectura de Madrid.- Madrid: Fundación COAM, 2003  Más información en la  página web de MonumentaMadrid";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=023de35bba51c010VgnVCM2000000c205a0aRCRD";"VILLA";"PLAZA";"V";"4";"";"";"";"C/V CALLE CORDON 1, C/V ROLLO 1, C/V SACRAMENTO 2";"MADRID";"MADRID";"28005";"PALACIO";"CENTRO";"439830";"4474259";"40.41490075227339";"-3.7105039839947347";"";"";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
20375;"Casa de La Panadería";"Iniciada por Diego Sillero en 1590 para el gremio del pan, será acabada y transformada en 1617 por Gómez de Mora al integrarla en el conjunto de la Plaza Mayor. La planta baja era completamente libre permitiendo el paso entre la calle Mayor y la Plaza. A finales del siglo  XVIII   Juan de Villanueva la restauró tras el incendio de la plaza en 1672. Es de destacar el balcón y Escudo Real de la fachada, así como sus pinturas.";"";"";"Metro: Sol (líneas 1, 2, 3).  Bus: 3, 50.  Renfe: Sol (líneas C3, C4).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=944de35bba51c010VgnVCM2000000c205a0aRCRD";"MAYOR";"PLAZA";"V";"27";"";"";"";"";"MADRID";"MADRID";"28012";"SOL";"CENTRO";"439983";"4474154";"40.41583855082183";"-3.7074257084323636";"";"";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
71807;"Casa de La Villa. Ayuntamiento de Madrid";"";"";"";"Metro: Sol (líneas 1, 2, 3), Ópera (líneas R, 2, 5)  Bus: 3, 5, 20, 25, 33, 39, 50, 51, 52, 53, 150";"Descripción monumental    El Ayuntamiento madrileño careció de inmueble propio hasta finalizar el siglo XVI, celebrando sus sesiones en la antigua parroquia de San Salvador, situada en la calle Mayor esquina calle Señores de Luzón.   En 1599 se compraron varias casas en la manzana 182, donde se instaló provisionalmente, y que se derribaron en 1620 para construir el actual edificio. Entonces el Consejo pidió licencia al rey para hacer la Casa del Ayuntamiento. En 1629 se aprobó el proyecto de Juan Gómez de Mora, empezando las obras años más tarde.  El edificio estuvo planteado con doble función: acoger los servicios municipales y la cárcel de la Villa. El resultado fue un edificio exento con planta compuesta en torno a un patio cuadrado, dejando el vestíbulo y salones principales en las fachadas principales y el resto de las dependencias en las secundarias.  Las fachadas en ladrillo, granito y pizarra presentan distintos tratamientos por su diferente función y situación urbana, siguiendo la línea de la arquitectura madrileña del siglo XVII impuesta por Gómez de Mora. La fachada a la plaza de la Villa tiene una distribución simétrica entre torres angulares rematadas con chapitel.  La fachada a la calle Mayor, reformada por Juan de Villanueva siguiendo el diseño de Mateo G&uuml;ill, mantiene las torres angulares y varía el segundo cuerpo, introduciendo en él una  loggia  de orden dórico como gran mirador sobre la calle, que acentúa los juegos de luz y sombra.  A lo largo de los siglos XIX y XX se realizaron ampliaciones y reformas interiores para dar cabida a los nuevos servicios del Ayuntamiento.  En la actualidad la sede del Ayuntamiento de Madrid se encuentra en el Palacio de Cibeles.   Autores    Juan Gómez de Mora: 1629 (P)  Juan Gómez de Mora, José de Villarreal, Bartolomé Hurtado, José del Olmo, Manuel del Olmo, Cristóbal de Aguilera y Teodoro Ardemans: 1644-1696 (O)  Reforma fachada  c/  Mayor: Mateo G&uuml;ill y Juan de Villanueva: 1785-1789 (O)  Ampliación: Juan José Sánchez Pescador: 1857-1859 (O)  Primera restauración: Lucio Oñoro Domínguez: 1969-1975 (O)  Segunda restauración: Joaquín Roldán Pascual: patio de cristales: 1984-1985 (O), salón de plenos: 1985 (O), saletas diversas: 1986 (O) y capilla: 1991 (Co)    Más información en  la  página de Monumentamadrid";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=483f68540e41c010VgnVCM2000000c205a0aRCRD";"VILLA";"PLAZA";"V";"5";"";"";"";"";"MADRID";"MADRID";"28005";"PALACIO";"CENTRO";"439820";"4474291";"40.41518829867041";"-3.7106248754622504";"";"";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
20390;"Casa de Velázquez";"Centro de creación artística y de investigación situado en un palacete de estilo neoclásico de 1920.";"";"Desarrollo de actividades creadoras e investigaciones relacionadas con las artes, las lenguas, las literaturas y las sociedades de países ibéricos, iberoamericanos y del Magreb.";"Bus: 83 , 133, 162  Metro: Ciudad Universitaria (línea 6)";"Descripción monumental:  el edificio es un palacete de estilo neoclásico inaugurado en 1928, por encargo del gobierno francés a los arquitectos Chifflot y Lefevre, en un terreno concedido por el Rey Alfonso XIII. Desde su fundación la institución acoge a jóvenes investigadores y artistas emergentes.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a48de35bba51c010VgnVCM2000000c205a0aRCRD";"PAUL GUINARD";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28040";"CIUDAD UNIVERSITARIA";"MONCLOA-ARAVACA";"438201";"4477170";"40.441013640676644";"-3.7299866834370903";"914 551 580";"915 497 250";"";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
2064;"Casón del Buen Retiro";"Edificio que forma parte del Museo Nacional del Prado, donde pueden consultarse fondos de la Biblioteca, del Archivo y del Servicio de Documentación de la colección del Museo y de otras fuentes relativas a la historia del arte.";"Mañanas    De lunes a jueves, de 9 a 15 horas (Servicio de libros y otros materiales hasta las 14:30 horas)  Viernes, de 9 a 14:30 horas (Servicio de libros y otros materiales hasta las 14 h)    Tardes    Lunes y miércoles, de 15 a 18 horas (Servicio de libros y otros materiales hasta las 17:30 horas)    Horario de verano     Desde el 16 de junio al 15 de septiembre, de lunes a viernes, de 9 a 14:30 horas";"";"Metro: Atocha (Línea 1)  Bus: 19, 10, 14, 27, 34, 37, 45  Renfe: Atocha";"Descripción monumental   El Casón o Salón de Baile es el único volumen que permanece del antiguo Palacio del buen Retiro, ejecutado en 1637 con un proyecto de Alonso Carbonel. Aún se conserva la bóveda de cañon con lunetas, pintada al fresco por Lucas Jordán en 1692 con la Alegoría del Toisón de Oro. Su fachada principal, a poniente, arrasada la primitiva en 1886 por un ciclón, es de Velázquez Bosco. La última rehabilitación ha sido realizada por Jaime Torruell.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f0443d0b5e71c010VgnVCM1000000b205a0aRCRD";"ALFONSO XII";"CALLE";"V";"28";"";"";"";"";"MADRID";"MADRID";"28014";"LOS JERONIMOS";"RETIRO";"441635";"4474285";"40.415263749471535";"-3.689232811717636";"913 304 016 / 913 302 821";"";"biblioteca@museodelprado.es";"/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos"; 
