PK,NOMBRE,URIname,DESCRIPCION-ENTIDAD,HORARIO,Horario,TRANSPORTE,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,NUM,LOCALIDAD,CODIGO-POSTAL,BARRIO,DISTRITO,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO,TYPE
4847190,Casa Museo Lope de Vega,Casa Museo Lope de Vega,"'Mi casilla, mi quietud, mi g&uuml;ertecillo y estudio'. Así define su casa Félix Lope de Vega (1562-1635) en una carta dirigida a un amigo. Situada en pleno centro histórico, en el Barrio de las Letras, la Casa Museo Lope de Vega se ubica en el edificio donde el escritor vivió sus últimos 25 ańos. La recreación de ambientes, cuyo objetivo es que se respire la presencia de Lope, evoca la vida cotidiana del Siglo de Oro y nos acerca a su intimidad. El equipamiento de la casa incorpora obras de arte, mobiliario, enseres y ediciones bibliográficas vinculadas al literato y su tiempo.   Visitas Guiadas   El acceso al museo se hace mediante visitas guiadas en grupo (máximo 15 personas). Imprescindible reservar con antelación, llamando al teléfono 914 299 216 o escribiendo un correo electrónico a casamuseolopedevega@madrid.org.  Las visitas comienzan cada media hora y tienen una duración aproximada de 35 minutos (última visita a las 17 horas).  También se realizan visitas en inglés, italiano y francés.","Para la visita es  imprescindible reserva anticipada  en:  casamuseolopedevega@madrid.org  o en el teléfono: 914 299 216, en horario del museo.  De martes a domingo de 10 a 18 horas (último pase a las 17 horas)  Cerrado los lunes, días 1 y 6 de enero, 1 de mayo, 9 de noviembre y 24, 25 y 31 de diciembre.",martes a domingo de 10 a 18 horas,"Metro: Antón Martín (línea 1).  Bus: 6, 9, 10, 14, 26, 27, 32, 34, 37, 45, 57.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4eff8c46145e8110VgnVCM2000000c205a0aRCRD,CERVANTES,CALLE,11,MADRID,28014,CORTES,CENTRO,40.41435847,-3.697474155,914 299 216,914 292 601,,/contenido/entidadesYorganismos/Museos,Museo
4949641,Casita - Museo del Ratón Pérez,Casita - Museo del Raton Perez,"La residencia de la familia Pérez está situada en los sótanos de la confitería Prasi, en el número ocho de la calle del Arenal, según cita Luis Coloma.",Lunes  de 17 a 20 horas.  De martes a viernes de 11 a 14 horas y de 17 a 20 horas.  Sábados de 11 a 15 horas y de 16 a 20 horas.  Domingos y festivos consultar.,martes a viernes de 11 a 14 horas,"Metro: Sol (líneas: 1, 2 y 3), Ópera (línea 3, Ramal Ópera Príncipe Pío), Callao (línea 3, 5)  Bus: 3, 5, 15, 20, 52, 53, 150",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=990950e86d4ca110VgnVCM2000000c205a0aRCRD,ARENAL,CALLE,8,MADRID,28013,SOL,CENTRO,40.41704834,-3.705528884,915 226 968,,info@casamuseoratonperez.es,/contenido/entidadesYorganismos/Museos,Museo
5682031,Castillo de la Alameda,Castillo de la Alameda,"El Castillo de la Alameda o de Barajas se trata de uno de los escasos vestigios de la arquitectura militar del pasado siglo  XV  y uno de los pocos castillos que ha sobrevivido al paso del tiempo. Bajo él y su entorno, existen restos de asentamientos antiguos desde la Edad del Bronce hasta la Época Romana. En el edificio se realizan talleres para escolares y actividades en verano.","Abierto solo en fin de semana (sábado y domingo) y festivos (lunes festivos incluidos)   Del 1 de abril al 15 de junio de 10 a 21 horas.  Del 16 de junio al 15 de septiembre de 10 a 20 horas.  Del 15 al 30 de septiembre de 10 a 21 horas.  De octubre a marzo de 10 a 18 horas.   Cerrado: 1 y 6 de enero, 1 de mayo, 24, 25 y 31 de diciembre.",sábado y domingo de 10 a 21 horas,"Metro:  Alameda de Osuna y El Capricho (línea 5)   Bus:  101, 105, 112, 114, 115 y 151",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fe43c4be8e688210VgnVCM1000000b205a0aRCRD,ANTONIO SANCHA,CALLE,1,MADRID,28042,ALAMEDA DE OSUNA,BARAJAS,40.45835461,-3.593290382,"913 667 415                                                                         
",,castilloalameda@madrid.es,/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos,Museo
2064,Casón del Buen Retiro,Cason del Buen Retiro,"Edificio que forma parte del Museo Nacional del Prado, donde pueden consultarse fondos de la Biblioteca, del Archivo y del Servicio de Documentación de la colección del Museo y de otras fuentes relativas a la historia del arte.","Mańanas    De lunes a jueves, de 9 a 15 horas (Servicio de libros y otros materiales hasta las 14:30 horas)  Viernes, de 9 a 14:30 horas (Servicio de libros y otros materiales hasta las 14 h)    Tardes    Lunes y miércoles, de 15 a 18 horas (Servicio de libros y otros materiales hasta las 17:30 horas)    Horario de verano     Desde el 16 de junio al 15 de septiembre, de lunes a viernes, de 9 a 14:30 horas",de lunes a jueves de 9 a 15 horas ,"Metro: Atocha (Línea 1)  Bus: 19, 10, 14, 27, 34, 37, 45  Renfe: Atocha",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f0443d0b5e71c010VgnVCM1000000b205a0aRCRD,ALFONSO XII,CALLE,28,MADRID,28014,LOS JERONIMOS,RETIRO,40.41526375,-3.689232812,913 304 016 / 913 302 821,,biblioteca@museodelprado.es,/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos,Museo
103331,Centro Social y Cultural La Casa Encendida,Centro Social y Cultural La Casa Encendida,"Edificio de carácter monumental. De estilo neomudéjar, fue diseńado por el arquitecto Fernando Arbós e inaugurado en el ańo 1913. Cuenta con más de 6.000 metros cuadrados de instalaciones divididas en 4 plantas y una azotea.","De martes a domingo de 10 a 22 horas (todos los días del ańo, excepto festividades nacionales y de la Comunidad de Madrid)  Exposiciones: de 10 a 21:45 horas",de martes a domingo de 10 a 22 horas ,"Metro: Embajadores (línea 3), Lavapies (línea 3), Atocha (línea 1), Palos de la Frontera (línea 3)  Bus: 27, 34, 36, 41, 119, C1, C2  Renfe: Embajadores (C5), Atocha ( C1, C2, C3, C4, C5, C7, C8, C10)",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c27f8899fc81c010VgnVCM1000000b205a0aRCRD,VALENCIA,RONDA,2,MADRID,28012,EMBAJADORES,CENTRO,40.40595711,-3.699779794,"902 430 322                                                                 
",,lacasaencendida@montemadrid.es,/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos,Museo
6469186,Ermita de San Antonio de la Florida (Museo),Ermita de San Antonio de la Florida,"Ermita dedicada a San Antonio de Padua y pequeńo museo. Las pinturas murales que la decoran son de Francisco de Goya. Alberga los restos mortales del artista desde 1919. Para preservar sus pinturas, en 1929 se trasladó el culto a una ermita gemela construida a su lado, dejando el edificio original como museo.","De martes a domingos de 9:30 a 20 horas.   Cerrado:   lunes (incluidos festivos), 1 y 6 de enero, 1 de mayo, 24, 25 y 31 de diciembre.   Último pase de visita:  20 minutos antes del cierre (el desalojo de las salas comenzará 10 minutos antes)  Este horario y la apertura de salas pueden sufrir modificaciones.",martes a domingos de 9:30 a 20 horas,"Metro: Príncipe Pío (líneas 5, 10 y ramal Ópera - Príncipe Pío)  Bus: 41, 46 y 75 (Intercambiador Príncipe Pío)  Renfe: Príncipe Pío",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=75950204770e7310VgnVCM2000000c205a0aRCRD,SAN ANTONIO DE LA FLORIDA,GLORIETA,5,MADRID,28008,CASA DE CAMPO,MONCLOA-ARAVACA,40.42525668,-3.725725718,915 420 722,,sanantonio@madrid.es,/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos,Museo
58353,Espacio Fundación Telefónica,Espacio Fundacion Telefonica,,"De martes a domingo, de 10 a 20 horas.  Cerrado al público todos los lunes y días 25 de diciembre, 1 y 6 de enero.",martes a domingo de 10 a 20 horas,"Metro: Gran Vía (líneas 1, 5)  Bus: 1, 2, 3, 46, 74, 146, M2",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=87748ed67151c010VgnVCM2000000c205a0aRCRD,FUENCARRAL,CALLE,3,MADRID,28004,UNIVERSIDAD,CENTRO,40.42041459,-3.701603419,915 808 700 (información general) / 915 226 645 (visitas guiadas y talleres),,,/contenido/entidadesYorganismos/Museos,Museo
6017808,Fundación AMYC (Arte Moderno y Contemporáneo). Casa - Museo Fuente del Rey,Museo Fuente del Rey,,"De martes a sábados de 10 a 19 horas. Lunes, domingos y festivos cerrado.  Visitas para grupos de hasta 25 personas dentro de los horarios de apertura. Pueden ser con guía propio o con guía de la Fundación, y la duración de la misma es de una hora. Previa reserva telefónica o vía correo electrónico.",martes a sábados de 10 a 19 horas,"Bus: 161, I60",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5c1260101310f210VgnVCM1000000b205a0aRCRD,FUENTE DEL REY,CALLE,11,MADRID,28023,ARAVACA,MONCLOA-ARAVACA,40.4554618,-3.770583626,913 579 116,,info@fundacionamyc.org,/contenido/entidadesYorganismos/FundacionesCulturales,Museo
3348,Monasterio de las Descalzas Reales,Monasterio de las Descalzas Reales,"Convento fundado por la Princesa Juana de Austria, transformando un antiguo palacio de su madre Isabel de Portugal.","Sólo con visita guiada  .     De martes a sábado de 10 a 14 horas y de 16 a 18:30 horas  Domingos y festivos, de 10 a 15 horas. Cerrado los lunes  Cierre taquillas y acceso al Monasterio una hora antes",de martes a sábado de 10 a 14 horas ,"Metro: Callao (líneas 3, 5) , Santo Domingo (línea 2) , Sol (líneas 1, 2, 3) Gran Vía (líneas 1, 5)  Bus: 1, 2, 3, 5, 15, 20, 25, 39, 40, 44, 46, 50, 51, 52, 53, 74, 75, 133, 146, 147, 148, 149, 150, 202",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=12e113db5b71c010VgnVCM1000000b205a0aRCRD,DESCALZAS,PLAZA,3,MADRID,28013,SOL,CENTRO,40.41823336,-3.706213135,"914 548 700                                                             
",,,/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos,Museo
5873478,Museo ABC,Museo ABC,"Centro de arte, dibujo e ilustración.","De martes a sábado de 11 a 20 horas  Domingos de 10 a 14 horas   Lunes cerrado    Durante 2018 el Museo ABC permanecerá cerrado los días:   1 y 6 de enero  1 de mayo  24 , 25 y 31 de diciembre",de martes a sábado de 11 a 20 horas ,"Metro: San Bernardo (líneas 2, 4), Noviciado (línea 2), Ventura Rodríguez (línea 3), Plaza de Espańa (líneas 3, 10)  Bus: 3, 147",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f0103fee6537c210VgnVCM1000000b205a0aRCRD,AMANIEL,CALLE,29,MADRID,28015,UNIVERSIDAD,CENTRO,40.42741122,-3.70953926,917 588 379,,info_museo@abc.es,/contenido/entidadesYorganismos/Museos,Museo
